City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,60.82,84,8,5.01,NZ,1699935855
1,big bend,-26.8167,31.9333,62.69,94,100,2.3,SZ,1699935856
2,longyearbyen,78.2186,15.6401,12.04,73,40,5.75,SJ,1699935856
3,talnakh,69.4865,88.3972,-6.86,96,40,6.13,RU,1699935856
4,chonchi,-42.6128,-73.8092,38.41,92,79,3.33,CL,1699935858
5,bredasdorp,-34.5322,20.0403,58.75,82,35,16.71,ZA,1699935858
6,dompu,-8.5356,118.4622,95.54,46,59,5.1,ID,1699935859
7,lerwick,60.1545,-1.1494,44.37,77,71,10.36,GB,1699935859
8,fort mcmurray,56.7268,-111.381,26.19,93,100,0.0,CA,1699935859
9,adamstown,-25.066,-130.1015,73.29,86,100,17.94,PN,1699935860
10,ushtobe,45.2514,77.9838,39.51,63,1,11.14,KZ,1699935860
11,port-aux-francais,-49.35,70.2167,43.63,97,100,33.87,TF,1699935861
12,taoudenni,22.6783,-3.9836,73.47,20,4,13.82,ML,1699935861
13,bethel,41.3712,-73.414,40.62,82,0,3.44,US,1699935861
14,bodo,67.28,14.405,26.94,51,0,20.71,NO,1699935862
15,edinburgh of the seven seas,-37.0676,-12.3116,56.35,78,11,26.4,SH,1699935862
16,carnarvon,-24.8667,113.6333,73.26,63,92,9.86,AU,1699935862
17,kerikeri,-35.2268,173.9474,57.72,87,100,9.06,NZ,1699935863
18,tura,25.5198,90.2201,78.46,60,18,1.45,IN,1699935863
19,isla vista,34.4133,-119.861,62.29,66,40,1.01,US,1699935863
20,albany,42.6001,-73.9662,35.31,87,72,1.97,US,1699935621
21,puerto deseado,-47.7503,-65.8938,47.57,44,100,22.77,AR,1699935763
22,guarapari,-20.6667,-40.4975,76.89,81,88,10.11,BR,1699935864
23,prince rupert,54.3161,-130.3201,44.69,67,75,11.5,CA,1699935865
24,birao,10.2849,22.7882,74.82,68,17,3.42,CF,1699935865
25,qamdo,31.1667,97.2333,34.56,31,36,6.2,CN,1699935865
26,grytviken,-54.2811,-36.5092,34.99,98,100,7.4,GS,1699935866
27,ciudad manuel doblado,20.7333,-101.9333,66.69,61,91,5.5,MX,1699935866
28,nemuro,43.3236,145.575,41.4,51,16,22.01,JP,1699935866
29,atafu village,-8.5421,-172.5159,80.28,87,100,12.48,TK,1699935867
30,soio,-6.1349,12.3689,78.28,90,83,4.79,AO,1699935867
31,ulsteinvik,62.3432,5.8487,36.32,77,2,5.01,NO,1699935867
32,rikaze,29.25,88.8833,41.92,39,55,2.48,CN,1699935868
33,lang suan,9.9456,99.0785,84.07,76,100,9.42,TH,1699935868
34,hamilton,39.1834,-84.5333,49.96,56,0,1.99,US,1699935852
35,port mathurin,-19.6833,63.4167,77.76,77,1,6.73,MU,1699935869
36,invercargill,-46.4,168.35,49.01,91,89,21.99,NZ,1699935863
37,east london,-33.0153,27.9116,58.14,94,75,3.44,ZA,1699935870
38,petropavlovsk-kamchatsky,53.0452,158.6483,26.46,74,0,28.01,RU,1699935848
39,macaiba,-5.8583,-35.3539,79.63,78,20,8.05,BR,1699935870
40,fort bragg,35.139,-79.006,47.8,87,0,0.0,US,1699935871
41,isafjordur,66.0755,-23.124,34.7,86,40,6.6,IS,1699935871
42,kidal,18.4411,1.4078,72.36,17,0,10.76,ML,1699935872
43,ushuaia,-54.8,-68.3,33.46,75,0,4.61,AR,1699935872
44,martignacco,46.0964,13.1378,51.22,86,0,5.75,IT,1699935873
45,sinop,41.7711,34.8709,49.87,94,100,10.78,TR,1699935723
46,olonkinbyen,70.9221,-8.7187,29.53,76,98,8.43,SJ,1699935873
47,i-n-salah,27.1935,2.4607,66.04,35,0,12.41,DZ,1699935873
48,puerto natales,-51.7236,-72.4875,33.53,83,81,10.0,CL,1699935874
49,port lincoln,-34.7333,135.8667,63.55,67,58,9.78,AU,1699935818
50,cidreira,-30.1811,-50.2056,68.2,96,100,4.61,BR,1699935875
51,yarmouth,41.7057,-70.2286,39.96,78,100,5.01,US,1699935875
52,juba,4.8517,31.5825,73.29,86,91,2.21,SS,1699935875
53,blackmans bay,-43.0167,147.3167,64.72,47,12,1.99,AU,1699935876
54,merizo village,13.2658,144.6691,88.36,83,19,19.62,GU,1699935876
55,thinadhoo,0.5333,72.9333,81.61,78,94,8.52,MV,1699935876
56,hawaiian paradise park,19.5933,-154.9731,72.91,94,40,4.61,US,1699935877
57,newman,37.3138,-121.0208,56.28,72,38,5.48,US,1699935877
58,lihue,21.9789,-159.3672,81.64,75,20,17.27,US,1699935877
59,morondava,-20.2833,44.2833,74.5,75,3,5.12,MG,1699935878
60,vorgashor,67.5833,63.95,9.7,88,100,8.7,RU,1699935878
61,sao tome,0.3365,6.7273,79.83,84,38,3.13,ST,1699935878
62,vodnyy,63.5046,53.4095,31.41,98,100,7.27,RU,1699935879
63,naze,28.3667,129.4833,65.32,57,79,7.47,JP,1699935879
64,stanley,54.868,-1.6985,44.71,92,20,6.91,GB,1699935880
65,zuenoula,7.4292,-6.0431,72.52,90,4,2.44,CI,1699935880
66,choibalsan,48.0667,114.5,18.81,76,5,4.16,MN,1699935880
67,harstad,68.799,16.5293,26.15,76,11,5.99,NO,1699935881
68,alaghsas,17.0187,8.0168,72.84,15,2,10.25,NE,1699935881
69,port elizabeth,-33.918,25.5701,63.32,78,75,11.5,ZA,1699935882
70,lebu,-37.6167,-73.65,48.38,89,34,7.87,CL,1699935882
71,taksimo,56.3444,114.8794,16.32,74,81,1.41,RU,1699935882
72,college,64.8569,-147.8028,26.55,91,100,0.0,US,1699935653
73,hithadhoo,-0.6,73.0833,81.54,79,57,10.38,MV,1699935883
74,acarau,-2.8856,-40.12,79.52,78,92,14.18,BR,1699935884
75,dunedin,-45.8742,170.5036,61.81,65,100,5.99,NZ,1699935884
76,whitehorse,60.7161,-135.0538,21.97,85,75,4.61,CA,1699935884
77,kamina,-8.7386,24.9906,64.26,99,100,4.25,CD,1699935885
78,sandnessjoen,66.0217,12.6316,9.12,63,28,9.71,NO,1699935885
79,pierre,44.3683,-100.351,59.27,34,0,12.66,US,1699935885
80,pitanga,-24.7572,-51.7614,67.73,91,26,2.93,BR,1699935886
81,chegdomyn,51.1167,133.0167,17.96,67,32,1.79,RU,1699935886
82,kapa'a,22.0752,-159.319,82.38,81,20,17.27,US,1699935887
83,yelan',50.949,43.7378,40.28,87,100,5.82,RU,1699935887
84,ilulissat,69.2167,-51.1,23.02,68,100,9.22,GL,1699935888
85,remire-montjoly,4.9167,-52.2667,77.04,94,0,0.0,GF,1699935888
86,san patricio,28.017,-97.5169,62.83,88,100,11.68,US,1699935888
87,hermanus,-34.4187,19.2345,58.46,82,57,16.71,ZA,1699935889
88,kampong chhnang,12.1667,104.55,87.57,59,84,11.92,KH,1699935889
89,iqaluit,63.7506,-68.5145,-0.31,59,0,6.91,CA,1699935889
90,flin flon,54.7682,-101.865,32.41,80,100,12.77,CA,1699935735
91,camalu,30.85,-116.0667,63.57,48,100,4.03,MX,1699935890
92,dzuunmod,48.2199,97.3744,17.4,94,100,3.02,MN,1699935890
93,alice springs,-23.7,133.8833,98.15,13,14,6.91,AU,1699935856
94,margaret river,-33.95,115.0667,68.49,63,100,11.34,AU,1699935891
95,odienne,9.51,-7.5692,71.82,73,66,2.77,CI,1699935891
96,viesite,56.3475,25.5551,35.73,93,91,5.93,LV,1699935892
97,papatowai,-46.5619,169.4708,60.24,56,59,15.57,NZ,1699935892
98,al ain city,24.1917,55.7606,73.02,60,0,10.36,AE,1699935892
99,rongelap,11.1635,166.8941,82.27,82,100,17.81,MH,1699935893
100,bokoro,12.3807,17.0568,80.47,25,69,10.38,TD,1699935893
101,tananger,58.9333,5.6,41.92,52,0,2.3,NO,1699935893
102,uturoa,-16.7333,-151.4333,80.51,84,65,18.66,PF,1699935894
103,puerto lempira,15.2667,-83.7667,78.51,91,99,6.71,HN,1699935894
104,puerto ayora,-0.7393,-90.3518,73.54,100,78,7.0,EC,1699935894
105,st. john's,47.5649,-52.7093,32.14,82,100,4.61,CA,1699935895
106,tinaan,11.2667,123.75,82.78,76,100,9.95,PH,1699935895
107,ancud,-41.8697,-73.8203,42.53,70,31,7.67,CL,1699935895
108,tarakan,3.3,117.6333,85.5,79,75,5.75,ID,1699935896
109,strelka,58.0728,93.0344,23.22,87,85,10.29,RU,1699935896
110,san pedro pochutla,15.7333,-96.4667,75.36,86,28,3.91,MX,1699935896
111,kapuskasing,49.4169,-82.4331,33.89,93,100,9.22,CA,1699935897
112,luganville,-15.5333,167.1667,76.23,81,100,14.2,VU,1699935897
113,suntar,62.1444,117.6319,21.88,93,100,6.82,RU,1699935897
114,swakopmund,-22.6833,14.5333,59.85,85,90,3.2,NA,1699935898
115,spanish wells,26.323,-81.7957,75.02,54,100,1.99,US,1699935898
116,okhotsk,59.3833,143.3,7.05,77,77,14.72,RU,1699935898
117,nar'yan-mar,67.6713,53.087,18.1,96,100,8.99,RU,1699935899
118,san-pedro,4.7485,-6.6363,77.49,89,74,2.84,CI,1699935899
119,nuku'alofa,-21.1333,-175.2,73.74,94,75,18.41,TO,1699935631
120,anadyr,64.75,177.4833,5.5,77,5,25.99,RU,1699935900
121,avarua,-21.2078,-159.775,73.45,64,40,6.91,CK,1699935900
122,utrik,11.2278,169.8474,82.35,81,100,18.57,MH,1699935900
123,santa cruz,-17.8,-63.1667,81.86,78,40,9.22,BO,1699935901
124,west island,-12.1568,96.8225,84.18,70,6,12.66,CC,1699935901
125,sultanah,24.4926,39.5857,75.65,35,40,0.0,SA,1699935902
126,badger,64.8,-147.5333,26.47,92,100,0.0,US,1699935902
127,banjarmasin,-3.3244,114.591,95.14,40,76,1.66,ID,1699935903
128,zarinsk,53.7074,84.9493,33.76,99,100,9.28,RU,1699935903
129,tolanaro,-25.0319,46.9987,77.07,78,20,9.22,MG,1699935904
130,jamestown,42.097,-79.2353,45.99,67,0,12.66,US,1699935730
131,mafinga,-7.25,35.0667,70.77,77,61,1.16,TZ,1699935905
132,ifanadiana,-21.3,47.6333,74.14,72,14,0.56,MG,1699935905
133,yerofey pavlovich,53.9667,121.9667,24.76,44,82,1.72,RU,1699935906
134,nadi,-17.8,177.4167,87.8,66,100,9.22,FJ,1699935906
135,kailua-kona,19.6406,-155.9956,80.56,79,75,4.61,US,1699935907
136,gulf shores,30.246,-87.7008,60.85,82,100,8.05,US,1699935907
137,palembang,-2.9167,104.7458,89.69,66,40,5.75,ID,1699935908
138,puerto santa,-8.9906,-78.6456,66.16,90,8,8.34,PE,1699935908
139,tongchuanshi,35.0806,109.0897,49.95,41,0,4.63,CN,1699935908
140,hasaki,35.7333,140.8333,63.0,33,0,3.49,JP,1699935909
141,rio grande,-32.035,-52.0986,65.95,95,100,7.0,BR,1699935909
142,pokhara,28.2333,83.9833,71.28,48,100,3.76,NP,1699935909
143,bilibino,68.0546,166.4372,-20.52,100,100,2.24,RU,1699935910
144,brumado,-14.2036,-41.6653,71.58,62,0,4.54,BR,1699935910
145,kenai,60.5544,-151.2583,30.25,91,0,3.44,US,1699935686
146,zhigalovo,54.8097,105.1578,28.22,89,100,4.21,RU,1699935911
147,pisco,-13.7,-76.2167,66.02,88,6,0.0,PE,1699935911
148,lagoa,39.05,-27.9833,62.71,73,100,2.77,PT,1699935911
149,porto novo,6.4965,2.6036,76.82,88,5,1.36,BJ,1699935912
150,hammerfest,70.6634,23.6821,30.65,93,100,1.14,NO,1699935912
151,wainwright,52.839,-110.8572,32.36,75,100,13.47,CA,1699935780
152,kangding,30.0513,101.9603,61.16,25,12,0.67,CN,1699935913
153,nouadhibou,20.931,-17.0347,67.98,56,14,11.5,MR,1699935913
154,haiku-pauwela,20.9219,-156.3051,77.04,68,40,14.97,US,1699935914
155,yellowknife,62.456,-114.3525,25.32,86,100,12.66,CA,1699935914
156,usinsk,65.9939,57.5281,19.08,83,100,5.01,RU,1699935656
157,ketchikan,55.3422,-131.6461,40.98,87,40,5.75,US,1699935915
158,wailua homesteads,22.0669,-159.378,81.03,81,20,17.27,US,1699935915
159,nowa deba,50.4297,21.7508,47.39,87,100,14.09,PL,1699935916
160,omu-aran,8.1333,5.1,72.05,78,85,1.52,NG,1699935916
161,la condamine,43.7344,7.4202,63.86,74,0,8.05,MC,1699935916
162,astrakhan,46.3497,48.0408,42.67,100,100,8.99,RU,1699935738
163,igarka,67.4667,86.5833,-0.71,83,33,14.03,RU,1699935917
164,kavaratti,10.5669,72.642,81.64,70,63,2.53,IN,1699935918
165,bamboo flat,11.7,92.7167,82.49,83,100,4.61,IN,1699935918
166,tiquisate,14.2833,-91.3667,76.55,93,47,3.91,GT,1699935918
167,poltavka,54.3663,71.7632,37.29,84,97,12.39,RU,1699935919
168,padre las casas,18.7317,-70.9392,67.96,81,6,4.29,DO,1699935919
169,bogandinskiy,56.8937,65.8938,39.92,82,100,15.01,RU,1699935920
170,kurumkan,54.3,110.3,22.12,86,100,1.01,RU,1699935920
171,sao vicente,-23.9631,-46.3919,84.27,26,71,1.99,BR,1699935826
172,ribeira brava,32.65,-17.0667,67.71,80,4,3.44,PT,1699935921
173,waddan,29.1614,16.139,62.08,88,48,6.58,LY,1699935921
174,mount isa,-20.7333,139.5,101.97,13,0,17.27,AU,1699935921
175,lompoc,34.6391,-120.4579,55.92,87,0,8.05,US,1699935870
176,sitka,57.0531,-135.33,42.69,81,100,14.97,US,1699935922
177,vadso,70.0744,29.7487,26.76,86,75,11.5,NO,1699935922
178,montpelier,44.2601,-72.5754,35.58,90,75,4.61,US,1699935923
179,udachny,66.4167,112.4,19.45,85,100,8.41,RU,1699935923
180,marsabit,2.3284,37.9899,64.27,91,100,8.99,KE,1699935924
181,geraldton,-28.7667,114.6,79.21,61,43,11.5,AU,1699935924
182,saipan,15.1355,145.701,88.5,66,40,19.57,MP,1699935924
183,taman',45.2117,36.7161,49.42,81,100,15.68,RU,1699935925
184,akureyri,65.6835,-18.0878,37.33,75,100,2.3,IS,1699935927
185,guanica,17.9716,-66.908,79.05,62,0,6.8,PR,1699935927
186,tiksi,71.6872,128.8694,5.76,94,100,4.34,RU,1699935927
187,necochea,-38.5473,-58.7368,55.24,50,44,13.31,AR,1699935928
188,ust-nera,64.5667,143.2,-19.19,98,55,5.39,RU,1699935928
189,jiaojiang,28.6803,121.4428,62.01,54,12,3.31,CN,1699935928
190,esil,51.9556,66.4042,38.23,77,100,15.41,KZ,1699935929
191,new norfolk,-42.7826,147.0587,65.91,29,4,6.11,AU,1699935929
192,saint-francois,46.4154,3.9054,53.04,100,100,5.75,FR,1699935918
193,conceicao das alagoas,-19.9147,-48.3883,82.24,31,75,5.12,BR,1699935930
194,blagoveshchenka,52.8333,79.8667,38.39,85,91,9.19,RU,1699935930
195,cestos city,5.46,-9.5828,79.12,86,69,5.5,LR,1699935931
196,blenheim,-41.516,173.9528,64.53,68,7,4.0,NZ,1699935930
197,georgetown,5.4112,100.3354,87.73,74,20,6.91,MY,1699935931
198,verdal,63.7933,11.4817,23.04,64,100,5.84,NO,1699935932
199,la passe,45.5549,-0.8967,59.23,90,100,8.9,FR,1699935928
200,sao joao da barra,-21.6403,-41.0511,74.35,92,68,5.99,BR,1699935911
201,senador jose porfirio,-2.5908,-51.9542,78.44,58,99,2.68,BR,1699935933
202,afaahiti,-17.75,-149.2833,80.47,90,95,14.52,PF,1699935933
203,supaul,26.1167,86.6,78.03,44,49,3.96,IN,1699935933
204,karonga,-9.9333,33.9333,77.38,71,36,2.28,MW,1699935934
205,praia da vitoria,38.7333,-27.0667,61.75,94,20,4.85,PT,1699935934
206,san antonio de pale,-1.4014,5.6325,79.03,79,19,6.87,GQ,1699935934
207,ta`u,-14.2336,-169.5144,81.14,82,57,11.65,AS,1699935935
208,saint-pierre,-21.3393,55.4781,81.57,47,45,5.75,RE,1699935935
209,sovetskaya gavan',48.9723,140.2878,23.11,59,14,12.15,RU,1699935936
210,ribeira grande,38.5167,-28.7,60.78,82,100,5.01,PT,1699935936
211,punta arenas,-53.15,-70.9167,37.51,70,20,18.41,CL,1699935816
212,north platte,41.1239,-100.7654,51.12,46,0,10.0,US,1699935937
213,ves'yegonsk,58.664,37.2604,34.18,97,100,8.95,RU,1699935937
214,aral,40.5156,81.2636,45.66,31,0,5.97,CN,1699935937
215,guthrie,35.8789,-97.4253,58.62,62,0,5.75,US,1699935938
216,holualoa,19.6228,-155.9522,76.84,79,75,4.61,US,1699935938
217,tazacorte,28.629,-17.9293,76.15,31,0,9.22,ES,1699935938
218,minas de marcona,-15.2119,-75.1103,56.8,87,65,13.76,PE,1699935939
219,bac lieu,9.285,105.7244,84.54,75,100,18.21,VN,1699935939
220,tripoli,32.8752,13.1875,69.03,70,0,4.59,LY,1699935939
221,crane,31.3974,-102.3501,51.71,83,100,6.51,US,1699935824
222,borogontsy,62.6683,131.1683,-5.39,96,98,3.02,RU,1699935940
223,mar del plata,-38.0023,-57.5575,56.08,57,68,11.99,AR,1699935940
224,springs,-26.25,28.4,60.67,96,90,12.53,ZA,1699935941
225,arraial do cabo,-22.9661,-42.0278,74.21,91,57,13.24,BR,1699935941
226,seichamps,48.7111,6.2619,51.6,84,0,8.05,FR,1699935941
227,tinghir,31.5157,-5.5343,60.24,31,54,1.99,MA,1699935942
228,ivdel',60.6911,60.4206,35.19,81,100,4.0,RU,1699935645
229,mejit,10.2753,170.8646,80.71,85,98,14.18,MH,1699935942
230,tadine,-21.55,167.8833,74.21,57,83,18.19,NC,1699935943
231,norilsk,69.3535,88.2027,-8.23,96,73,4.88,RU,1699935943
232,gamba,-2.65,10.0,77.76,87,100,5.68,GA,1699935944
233,cabo san lucas,22.8909,-109.9124,80.76,64,20,3.71,MX,1699935752
234,klyuchi,52.2667,79.1667,38.73,87,92,8.57,RU,1699935945
235,swift current,50.2834,-107.8014,41.81,60,0,18.41,CA,1699935945
236,kyabe,9.4515,18.9449,76.98,64,86,1.03,TD,1699935945
237,vallenar,-28.5708,-70.7581,65.59,49,1,1.9,CL,1699935946
238,novoishimskiy,53.1981,66.7694,39.27,81,100,17.96,KZ,1699935946
239,watsa,3.0372,29.5355,63.23,99,92,1.97,CD,1699935946
240,bopolu,7.0667,-10.4875,73.22,97,24,0.25,LR,1699935947
241,kenton,38.9501,-84.5333,51.19,47,20,0.0,US,1699935947
242,verkhnevilyuysk,63.4453,120.3167,14.5,94,100,5.44,RU,1699935947
243,khasab,26.1799,56.2477,81.7,29,43,4.52,OM,1699935948
244,pacasmayo,-7.4006,-79.5714,67.19,84,21,13.27,PE,1699935948
245,sayaxche,16.5167,-90.1667,72.72,100,96,1.99,GT,1699935949
246,kete krachi,7.7939,-0.0498,79.83,82,11,5.88,GH,1699935949
247,enewetak,11.3474,162.3373,83.12,81,87,18.57,MH,1699935949
248,salinas,36.6777,-121.6555,55.49,87,20,6.91,US,1699935950
249,nephi,39.7102,-111.8363,46.74,25,98,5.3,US,1699935950
250,selfoss,63.9331,-20.9971,43.05,75,78,17.9,IS,1699935950
251,fortuna,40.5982,-124.1573,55.92,95,100,1.01,US,1699935951
252,zeya,53.75,127.2667,20.48,54,100,0.72,RU,1699935951
253,slave lake,55.2834,-114.769,28.38,69,100,23.02,CA,1699935951
254,gizo,-8.103,156.8419,81.77,75,100,8.32,SB,1699935952
255,beroroha,-21.6667,45.1667,78.31,45,12,1.99,MG,1699935952
256,fuglafjordur,62.244,-6.814,43.27,69,68,21.0,FO,1699935952
257,youhao,47.8667,128.8333,28.36,70,37,3.78,CN,1699935953
258,medvedevo,56.6339,47.804,38.84,96,100,10.0,RU,1699935953
259,cedeira,43.6797,-8.0209,65.37,89,100,27.94,ES,1699935954
260,north haven,41.3909,-72.8595,40.19,88,20,0.0,US,1699935862
261,paimpol,48.7784,-3.0438,56.07,82,93,20.2,FR,1699935954
262,nizhnekamsk,55.6366,51.8245,41.79,93,75,11.18,RU,1699935955
263,hosszupalyi,47.393,21.7328,50.34,87,75,14.97,HU,1699935955
264,katsuren-haebaru,26.3369,127.8719,75.58,49,75,9.22,JP,1699935956
265,letohrad,50.0358,16.4988,50.31,84,66,12.88,CZ,1699935956
266,quellon,-43.1167,-73.6167,39.43,81,96,7.52,CL,1699935956
267,keban,38.7978,38.7336,55.24,94,100,2.21,TR,1699935957
268,lewistown,40.5992,-77.5714,51.21,43,0,5.75,US,1699935957
269,ugoofaaru,5.6667,73.0,81.14,77,67,4.32,MV,1699935958
270,giporlos,11.12,125.4494,84.65,76,74,6.55,PH,1699935958
271,barcelos,41.5388,-8.6151,64.54,92,94,6.8,PT,1699935958
272,sumter,28.7086,-82.0831,66.15,87,100,10.18,US,1699935959
273,zakynthos,37.7914,20.8953,56.64,63,5,7.25,GR,1699935959
274,labrador city,52.9463,-66.9114,13.91,92,100,2.3,CA,1699935959
275,oyem,1.5995,11.5793,66.99,99,90,0.85,GA,1699935960
276,san clemente,33.427,-117.612,65.21,50,62,1.99,US,1699935960
277,qaqortoq,60.7167,-46.0333,19.53,94,95,3.6,GL,1699935960
278,marsh harbour,26.5412,-77.0636,77.38,78,100,10.98,BS,1699935961
279,kathu,7.9178,98.3332,84.02,72,100,10.13,TH,1699935961
280,hadibu,12.65,54.0333,80.46,83,76,10.71,YE,1699935961
281,shache,38.4167,77.2406,48.65,23,67,2.44,CN,1699935961
282,guerrero negro,27.9769,-114.0611,68.27,60,100,9.35,MX,1699935962
283,san mariano,7.5,126.0,86.54,63,15,4.07,PH,1699935962
284,iskateley,67.6803,53.1512,18.01,96,100,8.99,RU,1699935963
